Schools,Funding,Programs,2021-cycle Status,Application DDL,Greetings,website
Brown University ,Private,History Ph.D.,Suspend,,The Brown Department of History has decided to suspend doctoral graduate admissions in History and Ancient History for the fall of 2020 for an entering class of 2021.,
Brown University ,Private,Anthropology Ph.D.,Suspend,,The Brown Anthropology department will not accept graduate applications during the 2021 admissions cycle. ,
Brown University ,Private,American Studies Ph.D.,Suspend,,"American Studies has decided to suspend doctoral admissions for the fall of 2020.  This decision reflects our deep commitment to support those students already enrolled here at Brown, ",
Brown University ,Private,Political Science Ph.D.,Suspend,,"We have decided to pause our AY 2020-2021 admissions cycle. We do not take this decision lightly. However, given the known and unknown effects of COVID-19 on the career opportunities of our graduate students, it is important that we remain flexible and ready to assist them in these radically uncertain times. ",
Columbia University ,Private,Political Science Ph.D.,Suspend,,The Department of Political Science has decided to pause its Ph.D. admission cycle for one year. Applications will not be accepted in Fall 2020 (for study that would otherwise begin in Fall 2021).,
Columbia University ,Private,Sociology Ph.D.,Suspend,,The Department of Sociology has decided to pause Ph.D. admissions for Fall 2021. We make this decision reluctantly.,
Columbia University ,Private,English Ph.D.,Suspend,,"Please Note** Ph.D. program admissions have been suspended for the academic year 2021-22; they will resume for the academic year 2022-23, with an application deadline of December 2021",
Columbia University ,Private,Math Ph.D.,Suspend,,"In response to the disruptions caused by the Covid-19 pandemic, the Department of Mathematics is not accepting doctoral applications for 2021 admission. ",
Columbia University ,Private,Philosophy Ph.D.,Suspend,,"In response to the disruptions wrought by the Covid-19 pandemic, the Department of Philosophy has elected to pause admissions for its PhD program for fall 2021. This one-year hiatus will allow us to provide our current PhD students with additional support as they address unanticipated needs that have arisen since the pandemic began. ",
Columbia University ,Private,Latin American & Iberian Culture Ph.D.,Suspend,,"In response to the disruptions caused by the Covid-19 pandemic, the Department of Anthropology is not accepting doctoral applications for 2021 admission. ",
Columbia University ,Private,Anthropology Ph.D.,Suspend,,"In response to the disruptions caused by the Covid-19 pandemic, the Department of Anthropology is not accepting doctoral applications for 2021 admission. ",
Columbia University ,Private,Music Ph.D.,Suspend,,"In response to the disruptions caused by the Covid-19 pandemic, the Department of Anthropology is not accepting doctoral applications for 2021 admission. ",
Cornell University,Private,Industrial & Labor Relations MS/Ph.D.,Downsize,,"Please note that due to the impacts of the current pandemic, we will only be accepting a small number of MS/PhD applicants for the 2020/21 academic year.",
Cornell University,Private,Sociology Ph.D.,Normal,January 15th,,
CUNY Brooklyn,Private,Sociology Ph.D.,Suspend,,,
Harvard University,Private,Sociology Ph.D.,Normal,,,
Harvard University,Private,Education Ph.D. ,Suspend,,"Given the fiscal constraints on our institution presented by the continuously evolving COVID-19 pandemic, HGSE has made the difficult decision not to accept doctoral applications for fall 2021 enrollment. ",
Michigan State University,Public,Psychology Ph.D.,Suspend,,,
New York University,Private,Sociology Ph.D.,Normal,"January 4th, 2020",,
